date,price,beds,baths,house_type,sqft,year_built,postal_code,state,city,county,basement,beach,beautiful_backyard,boat_dock,central_air,central_heat,city_view,clubhouse,community_center,community_elevator,community_gym,community_park,community_swimming_pool,cul_de_sac,dining_room,disability_features,dishwasher,dog_kennel,dual_master_bedroom,elevator,fireplace,floor_plan,front_porch,furnished,furniture,gated_community,greenbelt,greenhouse,helipad,hill_or_mountain_view,kitchen_island,lake,library,new_construction,ocean_view,outdoor_kitchen,park,pets_allowed,playground,pond,river_view,shopping,smart_homes,wine_cellar
2023-08-17,1000.0,3,3,townhomes,1588.0,1984,14712.0,NY,Bemus Point,Chautauqua,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024-01-08,1000.0,4,2,single_family,2722.0,1910,13210.0,NY,Syracuse,Onondaga,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-30,4500.0,0,0,land,1892.0134502923977,1950,13676.0,NY,Potsdam,St. Lawrence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-03,4500.0,0,0,land,1892.0134502923977,1950,13676.0,NY,Potsdam,St. Lawrence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-16,4900.0,0,0,land,2152.9415422885572,1932,13326.0,NY,Cooperstown,Otsego,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-19,4900.0,0,0,land,2152.9415422885572,1932,13326.0,NY,Cooperstown,Otsego,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-04,4900.0,0,0,land,1798.4643097643097,1975,12737.0,NY,Lumberland,Sullivan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-25,5000.0,0,0,land,2739.2236842105262,1949,14712.0,NY,Bemus Point,Chautauqua,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-08-31,5000.0,3,2,mobile,1036.0,1990,13607.0,NY,Alexandria Bay,Jefferson,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2024-01-31,5000.0,0,0,land,2739.2236842105262,1949,14712.0,NY,Bemus Point,Chautauqua,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-10-20,5000.0,3,2,mobile,1036.0,1990,13607.0,NY,Alexandria Bay,Jefferson,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2024-01-10,6000.0,0,0,land,2363.8986203817676,1963,11545.0,NY,Brookville,Nassau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-24,6000.0,0,0,land,2363.8986203817676,1963,11545.0,NY,Brookville,Nassau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27,6500.0,0,0,land,1808.372972972973,1958,13607.0,NY,Alexandria Bay,Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-19,7000.0,0,0,land,3282.872260015117,1953,12946.0,NY,Lake Placid,Essex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-13,7500.0,0,0,land,2052.477011494253,1959,14203.0,NY,Buffalo,Erie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-02,7500.0,1,1,condos,689.0,2009,13045.0,NY,Cortland,Cortland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-11,7500.0,0,0,land,1892.0134502923977,1950,13676.0,NY,Potsdam,St. Lawrence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-20,8000.0,0,0,land,1817.0885416666667,1963,13142.0,NY,Pulaski,Oswego,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2023-09-19,8000.0,0,0,land,1817.0885416666667,1963,13142.0,NY,Pulaski,Oswego,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2023-10-23,8000.0,0,0,land,2034.617283950617,1950,13827.0,NY,Owego,Tioga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-30,8500.0,0,0,land,1798.4643097643097,1975,12737.0,NY,Lumberland,Sullivan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2024-01-03,8500.0,0,0,land,1798.4643097643097,1975,12737.0,NY,Lumberland,Sullivan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2023-08-28,8541.0,0,0,land,1798.4643097643097,1975,12737.0,NY,Lumberland,Sullivan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-23,9000.0,0,0,land,2007.405612244898,1921,13815.0,NY,Norwich,Chenango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-19,9999.0,0,0,land,1808.372972972973,1958,13607.0,NY,Alexandria Bay,Jefferson,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-02,10000.0,0,0,land,1828.5454545454545,1962,14731.0,NY,Ellicottville,Cattaraugus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-28,10000.0,0,0,land,2152.9415422885572,1932,13326.0,NY,Cooperstown,Otsego,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-14,10000.0,2,2,condos,1115.0,2009,13045.0,NY,Cortland,Cortland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-24,10000.0,0,0,land,2152.9415422885572,1932,13326.0,NY,Cooperstown,Otsego,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-19,11500.0,0,0,land,2052.477011494253,1959,14203.0,NY,Buffalo,Erie,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-10,11500.0,0,0,land,2052.477011494253,1959,14203.0,NY,Buffalo,Erie,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
